user_name,broker,series_id,qty_open,position_eur,asset_rollup,underlying_symbol,optie_call_put,strike,expiry,ib_currency,exchange_code,trading_class,multiplier,conid,local_symbol,last_verified_ts
onno,degiro,1,-300.0,1461.0,AEX,EOE,put,820.0,2026-03-20,EUR,FTA,AEX,100.0,774426708,AEX P@820 MAR26,2026-03-14 17:59:18
onno,lynx,78,-400.0,3968.0,AEX,EOE,put,840.0,2026-03-20,EUR,FTA,AEX,100.0,770650426,AEX P@840 MAR26,2026-03-14 17:59:18
onno,lynx,79,300.0,-6785.0,AEX,EOE,put,900.0,2026-03-20,EUR,FTA,AEX,100.0,770650440,AEX P@900 MAR26,2026-03-14 17:59:18
onno,degiro,2,300.0,-4560.0,AEX,EOE,put,920.0,2026-03-20,EUR,FTA,AEX,100.0,770650451,AEX P@920 MAR26,2026-03-14 17:59:18
onno,degiro,3,-300.0,273.0,AHOLD,AD,call,38.0,2026-03-20,EUR,FTA,AH,100.0,773679693,AH C@38 MAR26,2026-03-14 17:59:18
onno,lynx,81,-800.0,368.0,AHOLD,AD,put,36.0,2026-03-20,EUR,FTA,AH,100.0,770618606,AH P@36 MAR26,2026-03-14 17:59:19
onno,lynx,80,-400.0,252.0,AHOLD,AD,put,40.0,2026-04-17,EUR,FTA,AH,100.0,847386456,AH P@40 APR26,2026-03-14 17:59:19
onno,interactive,31,-100.0,300.0,ALLIANZ,ALV,put,370.0,2026-03-20,EUR,EUREX,ALV,100.0,840901844,P ALV  20260320 370 M,2026-03-14 17:59:19
onno,interactive,32,-100.0,223.0,ANET,ANET,put,120.0,2026-03-20,USD,SMART,ANET,100.0,756933159,ANET  260320P00120000,2026-03-14 17:59:19
onno,interactive,33,-100.0,5153.0,APPLOVIN,APP,put,500.0,2026-03-20,USD,SMART,APP,100.0,784443415,APP   260320P00500000,2026-03-14 17:59:20
onno,interactive,34,-200.0,178.0,ARCHER,ACHR,put,7.0,2026-03-20,USD,SMART,ACHR,100.0,846149851,ACHR  260320P00007000,2026-03-14 17:59:20
onno,interactive,35,-100.0,149.0,ARCHER,ACHR,put,8.0,2026-03-20,USD,SMART,ACHR,100.0,846149930,ACHR  260320P00008000,2026-03-14 17:59:20
